City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
495,Fort Nelson,CA,58.8053,-122.7002,74.48,25,78,2.39,broken clouds
496,Bahia Blanca,AR,-38.7196,-62.2724,53.06,47,89,17.02,overcast clouds
497,Kosh-Agach,RU,50.0,88.6667,42.73,51,6,3.58,clear sky
498,Maningrida,AU,-12.0667,134.2667,72.46,80,99,10.38,overcast clouds
499,Tiarei,PF,-17.5333,-149.3333,82.42,74,93,16.42,overcast clouds
500,Matata,NZ,-37.8833,176.75,59.13,88,100,8.52,overcast clouds
501,Shintomi,JP,32.0785,131.4723,69.85,58,0,1.81,clear sky
502,Almaznyy,RU,48.0448,40.045,55.54,93,43,7.56,scattered clouds
503,Prainha,BR,-1.8,-53.48,78.04,87,97,3.6,overcast clouds
504,Patiya,BD,22.2931,91.9762,76.78,95,39,5.32,scattered clouds
505,Garoua Boulai,CM,5.8833,14.55,67.64,90,71,1.83,broken clouds
506,Sistranda,NO,63.7256,8.834,46.36,89,100,7.2,overcast clouds
507,Kuah,MY,6.3265,99.8432,85.06,68,100,2.84,overcast clouds
508,Pitimbu,BR,-7.4706,-34.8086,75.79,84,90,7.85,overcast clouds
509,Bilma,NE,18.6853,12.9164,89.69,10,43,4.97,scattered clouds
510,Marawi,PH,7.9986,124.2928,67.64,94,100,2.84,overcast clouds
511,Atasu,KZ,48.6814,71.6433,66.99,23,75,8.05,broken clouds
512,Isla Del Bosque,MX,22.7333,-105.85,86.04,55,19,10.09,few clouds
513,Biratnagar,NP,26.4831,87.2834,77.31,84,21,5.88,light rain
514,Verkhovazhye,RU,60.7472,42.0465,31.42,81,7,2.62,clear sky
515,Nome,US,64.5011,-165.4064,53.67,43,40,14.97,scattered clouds
516,Xichang,CN,27.8964,102.2634,65.59,78,95,1.66,overcast clouds
517,Shache,CN,38.4167,77.2406,76.8,26,100,7.67,overcast clouds
518,Naliya,IN,23.2667,68.8333,82.58,81,87,15.93,overcast clouds
519,Fonte Boa,BR,-2.4959,-66.2662,74.93,95,76,0.13,broken clouds
520,Progreso,MX,21.2833,-89.6667,73.51,84,68,12.97,broken clouds
521,Metro,ID,-5.1131,105.3067,73.81,92,52,3.42,broken clouds
522,Avera,US,33.194,-82.5271,78.91,39,0,2.68,clear sky
523,Mandalgovi,MN,45.7625,106.2708,37.94,60,46,17.34,scattered clouds
524,Goundam,ML,16.4145,-3.6708,94.5,12,6,3.78,clear sky
